Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
2000,3.9683553385975543,1,283.7209167480469,291.385986328125,292.8088684082031,298.3003845214844,297.86431884765625,291.6602478027344,285.8260192871094,39,3,6,22,19,3,5,0.4178510682442712,0.2515233358683567,0.4179148854199888,0.3347071385530279,0.5405581377789442,0.2980383524852214,0.2947711343608745,1.0,1.0
2001,0.5294561572849688,1,284.7737731933594,291.9462890625,294.32208251953125,298.31658935546875,299.8327941894531,293.8056335449219,283.75054931640625,56,2,15,12,10,5,2,0.2689035156125594,0.1451106599388449,0.3447215082427353,0.4559181735318438,-0.1446111436120614,0.0091227758510274,0.0822795520601374,1.0,1.0
2002,-3.661975943845359,1,282.35809326171875,288.2503662109375,296.27923583984375,300.1027526855469,296.2248840332031,293.0606689453125,278.4038391113281,53,10,9,16,14,3,7,0.3702730083517425,-0.0194045600357057,0.0407265385393667,0.0725242044607523,0.566851813808209,0.140500478572293,0.3130036922631051,1.0,1.0
2003,-6.306520937410097,1,285.0612487792969,290.94293212890625,294.2012023925781,299.67950439453125,301.8376159667969,293.0558166503906,287.9364013671875,65,7,10,16,8,10,2,0.3088158859654141,0.2785971935135391,0.10652581046694,0.0825191432436784,-0.0718440197224447,0.2843291534997967,0.0329867146408977,1.0,1.0
2004,0.6958211765907372,1,285.5695495605469,287.3167419433594,291.96636962890625,296.9981384277344,293.89385986328125,293.8218078613281,284.506591796875,27,1,6,15,18,3,7,0.2116445409247152,0.5771890186361085,-0.0025623255429401,0.2704509222457557,0.473995598338201,0.136664585578826,0.2969937343577253,1.0,1.0
2005,4.2437424530008805,1,286.95733642578125,288.89495849609375,294.7015380859375,298.8148193359375,297.36712646484375,294.23565673828125,285.07159423828125,45,0,6,30,11,5,4,-0.0266182608158561,0.238875812886277,0.4638651535798697,0.3014316718599816,-0.1375505490630444,-0.129133985532362,0.211984771630186,1.0,1.0
2006,-0.2602867326409246,1,288.94805908203125,291.4029541015625,296.2232360839844,301.68487548828125,299.953857421875,292.69134521484375,281.5167541503906,69,2,13,12,8,5,2,0.305470654562988,0.1436365929010437,0.1320561486218917,-0.0817872450064143,-0.0914967424952248,0.1145375624695388,0.1587832917082152,1.0,1.0
2007,-1.6174288107171613,1,285.02056884765625,292.1164855957031,296.3381042480469,301.4991149902344,298.41986083984375,294.81964111328125,286.1468200683594,64,4,9,12,8,5,4,-0.0256306742759994,0.458134095846548,0.3550481142314534,-0.1644885374515009,0.3760615777340547,0.2288251571271825,0.1086987934337815,1.0,1.0
2008,-1.527683781227811,1,285.6148986816406,290.7322082519531,293.9935607910156,299.07086181640625,299.6257019042969,292.10626220703125,284.9844970703125,45,0,10,14,17,2,6,-0.1174960166755746,-0.0608201250804217,0.1652182270517857,0.1544871994463038,0.1203530905341807,0.2767749452220823,0.1610850463997993,1.0,1.0
2009,8.807057952905062,1,282.49969482421875,289.89129638671875,295.3905334472656,296.60723876953125,297.5310363769531,298.58172607421875,280.51336669921875,55,4,8,14,7,8,9,0.1688978870385353,-0.0046897632861995,-0.0670865170861425,0.23307397272418,0.2303468851629396,-0.1629594382727965,0.721955733028587,1.0,1.0
2010,1.490431682751769,1,287.8853759765625,289.68402099609375,293.9764404296875,298.7945861816406,298.4665832519531,290.1838073730469,287.0227355957031,39,1,12,15,20,3,3,0.2766873668714507,0.5153159338307797,0.1189358051356585,0.1336841983735673,0.5312629551741685,0.4983743821215575,-0.1206426216933855,1.0,1.0
2011,-9.679307479835956,1,279.99951171875,287.0411071777344,294.5173034667969,299.2198181152344,300.0980529785156,294.9480895996094,287.14227294921875,62,0,13,11,16,3,4,0.3984631307111833,0.3618500642375228,0.2010696690235665,0.0471241346440725,0.0359986620039088,-0.2055213770155082,0.1333577915190413,1.0,1.0
2012,-5.402159534858093,1,285.8680419921875,290.01251220703125,296.4884948730469,301.2215881347656,300.17901611328125,296.3984069824219,282.6797790527344,72,2,13,12,14,3,2,0.402318718717791,0.2448551796273824,-0.0334147033157052,0.1270396603679042,0.1664048293569122,-0.2630250107334635,0.4876923440520034,1.0,1.0
2013,3.5194026569975065,1,275.4649353027344,290.24908447265625,294.7665100097656,297.2361145019531,298.22381591796875,295.0136413574219,282.4985656738281,47,12,8,15,17,2,4,0.2069631901273497,0.038296228169829,0.3147509064819751,0.3932615026748796,0.2485083431000196,0.3502487177466823,0.1718394413947797,1.0,1.0
