Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
1990,0.12713164767097496,1,284.96575927734375,290.5264892578125,297.08245849609375,299.41278076171875,300.7520751953125,296.7913818359375,286.036376953125,0.0915789705398507,0.0291081838356805,0.1152364795610737,0.2092419465728784,0.2569683016472784,0.1719608163001244,-0.0329096060304912,1,1
1991,2.520377907640693,1,287.6483459472656,291.9846496582031,296.8544006347656,297.65234375,299.9387512207031,292.5435485839844,282.32196044921875,0.3312098436890643,0.3317674803263759,0.1951632240308665,0.2826964099276625,0.2224391325631817,0.3986974561127261,0.2329947417104457,1,1
1992,-6.339488724824015,1,283.2425842285156,293.7018737792969,295.4457092285156,294.5481262207031,297.03326416015625,292.22900390625,285.50396728515625,0.1442304237148802,0.1931600016020491,-0.1881893736948186,0.3587082671669909,0.3098463905848192,0.2255386194493615,-0.1145476391599502,1,1
1993,4.147971178417944,1,284.6971130371094,292.7626953125,293.4253845214844,294.03741455078125,296.17742919921875,291.0312805175781,284.688232421875,0.1152395349014107,-0.0521288309800207,0.0861203076653776,0.6081849197290304,0.2630073013628146,0.2353749835792142,-0.0449341142157825,1,1
1994,2.0817332463105984,1,285.1444396972656,293.43267822265625,294.7745361328125,297.06195068359375,297.072021484375,294.9038391113281,286.0520935058594,-0.0639900792628063,0.1140895509373248,0.4460203779904602,0.1024914073355463,0.3203037759198296,0.034789390989832,0.3221641641529142,1,1
1995,-5.037617578231172,1,281.1039733886719,290.16595458984375,297.3934631347656,298.0068359375,299.81903076171875,292.9369201660156,284.0141906738281,0.2570980166796558,0.300237959121765,0.003553730580807,0.4707352943914081,0.0452712247033316,-0.0616907795048594,0.28645549161675,1,1
1996,-1.6100812952073618,1,278.7251281738281,288.2513427734375,296.5049743652344,296.5752868652344,300.4574890136719,292.1609802246094,284.0166320800781,0.5682141525652373,0.0430289576887286,0.0639890053000242,0.4557704952552605,0.0477386352716637,0.2624036728026884,0.212893841615746,1,1
1997,-2.835800934242677,1,280.4681701660156,289.7154541015625,298.4510192871094,298.6541442871094,299.6697692871094,295.6950988769531,285.30487060546875,0.2135670121905934,0.0865156433698133,-0.3122847805428314,0.402175439560919,0.2221970922525765,0.0020144219755808,0.3034461915075224,1,1
1998,5.485364049138486,1,287.6976318359375,292.430908203125,292.4619140625,298.3300476074219,299.7948303222656,295.6307678222656,285.4971923828125,0.1481259247822555,0.1780088661221657,0.4807865142402552,0.0939682076274903,0.3734744237414464,-0.0556464102778174,0.1908408508193706,1,1
1999,3.85341614008523,1,284.3354187011719,289.9748229980469,293.8353271484375,297.5675048828125,297.9429626464844,291.09393310546875,284.5204162597656,-0.0326894875384489,0.6058662123663666,0.1263403134479863,0.2696974446168834,0.2517802987921217,0.3102261711324762,0.0449196652838125,1,1
2000,3.9683553385975543,1,283.7209167480469,291.385986328125,292.8088684082031,298.3003845214844,297.86431884765625,291.6602478027344,285.8260192871094,0.4178510682442712,0.2515233358683567,0.4179148854199888,0.3347071385530279,0.5405581377789442,0.2980383524852214,0.2947711343608745,1,1
2001,0.5294561572849688,1,284.7737731933594,291.9462890625,294.32208251953125,298.31658935546875,299.8327941894531,293.8056335449219,283.75054931640625,0.2689035156125594,0.1451106599388449,0.3447215082427353,0.4559181735318438,-0.1446111436120614,0.0091227758510274,0.0822795520601374,1,1
2002,-3.661975943845359,1,282.35809326171875,288.2503662109375,296.27923583984375,300.1027526855469,296.2248840332031,293.0606689453125,278.4038391113281,0.3702730083517425,-0.0194045600357057,0.0407265385393667,0.0725242044607523,0.566851813808209,0.140500478572293,0.3130036922631051,1,1
2003,-6.306520937410097,1,285.0612487792969,290.94293212890625,294.2012023925781,299.67950439453125,301.8376159667969,293.0558166503906,287.9364013671875,0.3088158859654141,0.2785971935135391,0.10652581046694,0.0825191432436784,-0.0718440197224447,0.2843291534997967,0.0329867146408977,1,1
2004,0.6958211765907372,1,285.5695495605469,287.3167419433594,291.96636962890625,296.9981384277344,293.89385986328125,293.8218078613281,284.506591796875,0.2116445409247152,0.5771890186361085,-0.0025623255429401,0.2704509222457557,0.473995598338201,0.136664585578826,0.2969937343577253,1,1
2005,4.2437424530008805,1,286.95733642578125,288.89495849609375,294.7015380859375,298.8148193359375,297.36712646484375,294.23565673828125,285.07159423828125,-0.0266182608158561,0.238875812886277,0.4638651535798697,0.3014316718599816,-0.1375505490630444,-0.129133985532362,0.211984771630186,1,1
2006,-0.2602867326409246,1,288.94805908203125,291.4029541015625,296.2232360839844,301.68487548828125,299.953857421875,292.69134521484375,281.5167541503906,0.305470654562988,0.1436365929010437,0.1320561486218917,-0.0817872450064143,-0.0914967424952248,0.1145375624695388,0.1587832917082152,1,1
2007,-1.6174288107171613,1,285.02056884765625,292.1164855957031,296.3381042480469,301.4991149902344,298.41986083984375,294.81964111328125,286.1468200683594,-0.0256306742759994,0.458134095846548,0.3550481142314534,-0.1644885374515009,0.3760615777340547,0.2288251571271825,0.1086987934337815,1,1
2008,-1.527683781227811,1,285.6148986816406,290.7322082519531,293.9935607910156,299.07086181640625,299.6257019042969,292.10626220703125,284.9844970703125,-0.1174960166755746,-0.0608201250804217,0.1652182270517857,0.1544871994463038,0.1203530905341807,0.2767749452220823,0.1610850463997993,1,1
2009,8.807057952905062,1,282.49969482421875,289.89129638671875,295.3905334472656,296.60723876953125,297.5310363769531,298.58172607421875,280.51336669921875,0.1688978870385353,-0.0046897632861995,-0.0670865170861425,0.23307397272418,0.2303468851629396,-0.1629594382727965,0.721955733028587,1,1
2010,1.490431682751769,1,287.8853759765625,289.68402099609375,293.9764404296875,298.7945861816406,298.4665832519531,290.1838073730469,287.0227355957031,0.2766873668714507,0.5153159338307797,0.1189358051356585,0.1336841983735673,0.5312629551741685,0.4983743821215575,-0.1206426216933855,1,1
2011,-9.679307479835956,1,279.99951171875,287.0411071777344,294.5173034667969,299.2198181152344,300.0980529785156,294.9480895996094,287.14227294921875,0.3984631307111833,0.3618500642375228,0.2010696690235665,0.0471241346440725,0.0359986620039088,-0.2055213770155082,0.1333577915190413,1,1
2012,-5.402159534858093,1,285.8680419921875,290.01251220703125,296.4884948730469,301.2215881347656,300.17901611328125,296.3984069824219,282.6797790527344,0.402318718717791,0.2448551796273824,-0.0334147033157052,0.1270396603679042,0.1664048293569122,-0.2630250107334635,0.4876923440520034,1,1
2013,3.5194026569975065,1,275.4649353027344,290.24908447265625,294.7665100097656,297.2361145019531,298.22381591796875,295.0136413574219,282.4985656738281,0.2069631901273497,0.038296228169829,0.3147509064819751,0.3932615026748796,0.2485083431000196,0.3502487177466823,0.1718394413947797,1,1
2014,-3.299820697667272,1,280.5868835449219,290.44537353515625,294.1714172363281,297.2848815917969,298.1149597167969,292.6153259277344,286.2566833496094,0.4664882215505716,0.1521945016200746,0.4318163867806567,-0.2716348500358252,0.4491476512581187,0.1372219736537217,-0.2670630747217246,1,1
2015,-1.842156944766483,1,285.7727355957031,290.6768493652344,297.29608154296875,299.389404296875,299.4775390625,295.34588623046875,286.67889404296875,-0.0584569944875403,0.0361545621574414,-0.0654052202064173,0.52921382768476,-0.0752981277921499,0.1193706986221605,0.3114319277355723,1,1
2016,0.5723939156998945,1,284.46112060546875,293.4045104980469,297.15411376953125,298.0108947753906,299.2842712402344,292.97882080078125,284.7821044921875,0.1763546080732161,-0.1240792190757213,0.2097400099141892,0.5377490068059905,0.4278677006216133,0.4476717231144311,0.526839252797564,1,1
2017,6.570776565278223,1,284.4488525390625,291.9024963378906,295.9498291015625,301.68194580078125,298.83673095703125,293.5820007324219,285.56170654296875,0.1216483591318332,-0.2549130984803178,-0.0704120427826714,0.1101703147057593,-0.0655919221137016,0.2981643780008516,0.023899997897306,1,1
2018,5.4389561261019495,1,280.35443115234375,296.1470947265625,297.6733093261719,299.0870056152344,301.61151123046875,290.2004089355469,281.6670837402344,-0.2981951192916491,-0.3357007800125918,0.3112831942265791,0.1016066861581867,-0.2674003666473798,0.5966264785744931,0.2501628275667526,1,1
2019,-2.5559772055087393,1,285.3267822265625,291.06805419921875,297.0861511230469,300.0736083984375,298.3316955566406,291.76202392578125,280.5846252441406,0.3344139130827125,-0.3038432127443805,0.1656598803247098,-0.0074507110813824,0.4587516470745668,0.9459764912436122,0.4339938480197338,1,1
